poste,diplome,specialite,ecole,promotion,experience_ans,selectionne,source
SI,MASTER,Informatique,USMBA,2020,3,1,reel
SI,MASTER,Système d'information,ENCG,2019,4,1,reel
SI,LICENCE,Informatique,FSJES,2021,1,0,reel
SI,TECHNICIEN SPECIALISE,Réseaux,ISTA,2018,2,0,reel
SI,LICENCE,Gestion,FSJES,2022,0,0,reel
SI,LICENCE,Développement web,UMR,2011,9,0,synthetique
SI,MASTER,Système d'information,UMR,2010,1,1,synthetique
CGM,MASTER,Audit,ISTA,2021,10,0,synthetique
SI,MASTER,Développement web,FSJES,2016,6,1,synthetique
CGM,MASTER,Audit,ISTA,2022,3,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,USMBA,2019,11,1,synthetique
SI,LICENCE,Intelligence artificielle,ENCG,2018,0,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,ISTA,2022,9,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,FSJES,2020,14,0,synthetique
CGM,LICENCE,Gestion Financière et comptable,ISGA,2017,8,0,synthetique
CGM,MASTER,Gestion des entreprises,ISTA,2005,11,0,synthetique
SI,LICENCE,Cybersécurité,ESISA,2013,11,0,synthetique
SI,TECHNICIEN SPECIALISE,Génie logiciel,EST,2020,6,0,synthetique
SI,LICENCE,Base de données,USM,2005,2,0,synthetique
CGM,LICENCE,Audit,FSJES,2018,6,1,synthetique
SI,MASTER,Développement web,ISTA,2008,13,0,synthetique
CGM,MASTER,Management financier,USMBA,2017,6,1,synthetique
ARCHIVISTE,TECHNICIEN,Management touristique,ENCG,2016,11,0,synthetique
ARCHIVISTE,LICENCE,Comptabilité,USMBA,2011,13,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,ENSA,2010,7,0,synthetique
SI,MASTER,Cybersécurité,FEDE,2014,11,0,synthetique
CGM,MASTER,Gestion Financière et comptable,ISGA,2011,1,1,synthetique
SI,MASTER,Informatique,ISGA,2021,1,0,synthetique
CGM,MASTER,Droit des affaires,USMBA,2016,9,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,ENCG,2021,14,0,synthetique
ARCHIVISTE,TECHNICIEN,Développement informatique,USMBA,2010,12,1,synthetique
SI,LICENCE,Réseaux et télécommunications,USMBA,2007,14,0,synthetique
CGM,MASTER,Gestion Financière et comptable,MIAGE,2015,11,0,synthetique
CGM,DOCTORAT,Droit des affaires,FEDE,2011,11,0,synthetique
CGM,LICENCE,Audit,USM,2013,8,0,synthetique
SI,LICENCE,Intelligence artificielle,USM,2005,7,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,FEDE,2022,13,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,FEDE,2013,3,0,synthetique
CGM,MASTER,Marketing,MIAGE,2021,0,0,synthetique
SI,MASTER,Développement web,ENSA,2010,5,1,synthetique
SI,MASTER,Cybersécurité,ISTA,2019,0,0,synthetique
CGM,MASTER,Comptabilité,ENCG,2021,0,1,synthetique
ARCHIVISTE,MASTER,Commerce,UMR,2009,7,0,synthetique
CGM,DOCTORAT,Management financier,ISGA,2024,14,0,synthetique
CGM,MASTER,Finances contrôle et audit,EST,2007,7,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,EST,2014,1,0,synthetique
CGM,MASTER,Audit,ENSA,2007,1,1,synthetique
CGM,MASTER,Gestion des entreprises,ISTA,2017,3,1,synthetique
ARCHIVISTE,LICENCE,Documentation,ENCG,2006,1,1,synthetique
SI,LICENCE,Réseaux et télécommunications,ISTA,2021,3,0,synthetique
CGM,DOCTORAT,Gestion des entreprises,ENCG,2017,3,1,synthetique
ARCHIVISTE,TECHNICIEN,Documentation,USMBA,2020,12,0,synthetique
SI,MASTER,Développement web,ENSA,2013,11,0,synthetique
CGM,DOCTORAT,Gestion des entreprises,ENSA,2020,8,0,synthetique
CGM,MASTER,Droit des affaires,UMR,2007,11,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,USMBA,2018,11,1,synthetique
ARCHIVISTE,LICENCE,Réseaux Informatique,ISTA,2005,13,1,synthetique
ARCHIVISTE,TECHNICIEN,Comptabilité,FSJES,2009,3,0,synthetique
ARCHIVISTE,MASTER,Développement informatique,ISTA,2017,3,1,synthetique
SI,TECHNICIEN SPECIALISE,Génie logiciel,FSJES,2024,7,1,synthetique
CGM,MASTER,Audit,FSJES,2005,0,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ENCG,2022,2,0,synthetique
CGM,MASTER,Gestion Financière et comptable,ENSA,2011,3,1,synthetique
ARCHIVISTE,TECHNICIEN,Bibliothéconomie,UMR,2008,9,0,synthetique
SI,DOCTORAT,Intelligence artificielle,USMBA,2021,6,1,synthetique
SI,TECHNICIEN SPECIALISE,Cybersécurité,USMBA,2017,6,0,synthetique
CGM,MASTER,Finances contrôle et audit,EST,2023,0,1,synthetique
CGM,MASTER,Gestion des entreprises,ESISA,2024,2,0,synthetique
CGM,MASTER,Management financier,USMBA,2020,8,1,synthetique
SI,MASTER,Système d'information,ISGA,2018,14,1,synthetique
SI,MASTER,Système d'information,MIAGE,2021,12,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Bibliothéconomie,ENCG,2022,10,0,synthetique
CGM,MASTER,Audit,EST,2024,0,1,synthetique
SI,TECHNICIEN SPECIALISE,Cybersécurité,UMR,2010,11,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,ENSA,2022,11,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Bibliothéconomie,ENCG,2013,6,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,ENCG,2005,5,1,synthetique
CGM,MASTER,Marketing,ISTA,2019,4,1,synthetique
SI,DOCTORAT,Système d'information,USMBA,2021,13,1,synthetique
SI,MASTER,Cybersécurité,FEDE,2007,6,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Comptabilité,EST,2022,11,0,synthetique
CGM,DOCTORAT,Droit des affaires,ENCG,2013,0,1,synthetique
CGM,MASTER,Droit des affaires,ESISA,2009,14,0,synthetique
CGM,DOCTORAT,Gestion Financière et comptable,ISTA,2009,6,1,synthetique
ARCHIVISTE,MASTER,Développement informatique,EST,2021,12,1,synthetique
CGM,MASTER,Finances contrôle et audit,ENCG,2010,11,1,synthetique
CGM,LICENCE,Management financier,ENSA,2018,8,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,USMBA,2021,7,0,synthetique
SI,LICENCE,Système d'information,ISTA,2007,10,1,synthetique
ARCHIVISTE,LICENCE,Secrétariat,ISGA,2021,14,1,synthetique
SI,TECHNICIEN SPECIALISE,Intelligence artificielle,ENCG,2010,1,0,synthetique
ARCHIVISTE,TECHNICIEN,Commerce,USM,2024,8,0,synthetique
ARCHIVISTE,TECHNICIEN,Commerce,FEDE,2008,9,0,synthetique
CGM,MASTER,Marketing,ENCG,2010,4,1,synthetique
SI,MASTER,Réseaux et télécommunications,ISTA,2020,14,0,synthetique
SI,MASTER,Intelligence artificielle,USMBA,2008,7,1,synthetique
SI,LICENCE,Système d'information,FSJES,2023,2,0,synthetique
CGM,MASTER,Audit,ENCG,2010,0,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Comptabilité,FEDE,2013,9,0,synthetique
CGM,LICENCE,Marketing,USM,2020,12,0,synthetique
SI,LICENCE,Intelligence artificielle,ISTA,2018,7,0,synthetique
ARCHIVISTE,LICENCE,Bibliothéconomie,USMBA,2007,14,0,synthetique
CGM,MASTER,Management financier,ENSA,2009,11,1,synthetique
ARCHIVISTE,TECHNICIEN,Développement informatique,USMBA,2016,8,0,synthetique
ARCHIVISTE,LICENCE,Gestion des entreprises,ENCG,2019,5,1,synthetique
ARCHIVISTE,TECHNICIEN,Bibliothéconomie,ISTA,2023,9,0,synthetique
ARCHIVISTE,TECHNICIEN,Bibliothéconomie,ISTA,2010,4,0,synthetique
CGM,MASTER,Droit des affaires,EST,2020,3,1,synthetique
SI,TECHNICIEN SPECIALISE,Informatique,ISTA,2010,2,0,synthetique
ARCHIVISTE,MASTER,Bibliothéconomie,ISTA,2017,11,0,synthetique
CGM,LICENCE,Droit des affaires,ENSA,2009,13,0,synthetique
SI,TECHNICIEN SPECIALISE,Cybersécurité,ISTA,2005,5,0,synthetique
SI,LICENCE,Système d'information,EST,2006,3,0,synthetique
CGM,MASTER,Finances contrôle et audit,FSJES,2010,6,1,synthetique
CGM,DOCTORAT,Droit des affaires,ESISA,2015,8,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,ESISA,2012,10,0,synthetique
ARCHIVISTE,LICENCE,Réseaux Informatique,EKTEC,2018,9,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Comptabilité,EST,2012,7,0,synthetique
SI,LICENCE,Informatique,UMR,2019,0,0,synthetique
CGM,MASTER,Gestion Financière et comptable,ISTA,2012,7,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,EST,2024,14,1,synthetique
SI,LICENCE,Génie logiciel,UMR,2008,12,0,synthetique
CGM,MASTER,Comptabilité,FSJES,2014,4,1,synthetique
SI,LICENCE,Base de données,MIAGE,2019,3,0,synthetique
SI,LICENCE,Cybersécurité,ISTA,2008,11,0,synthetique
CGM,MASTER,Management financier,FSJES,2015,10,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,EST,2019,9,1,synthetique
ARCHIVISTE,TECHNICIEN,Comptabilité,FSJES,2022,8,0,synthetique
SI,TECHNICIEN SPECIALISE,Génie logiciel,USM,2009,7,0,synthetique
CGM,MASTER,Comptabilité,EST,2013,5,1,synthetique
ARCHIVISTE,LICENCE,Secrétariat,MIAGE,2005,14,0,synthetique
ARCHIVISTE,TECHNICIEN,Bibliothéconomie,FSJES,2019,8,0,synthetique
CGM,MASTER,Gestion des entreprises,EST,2015,5,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,USM,2015,10,0,synthetique
CGM,MASTER,Marketing,ENSA,2015,5,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,ISTA,2021,3,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Bibliothéconomie,ISTA,2005,12,0,synthetique
ARCHIVISTE,LICENCE,Bibliothéconomie,USM,2021,12,1,synthetique
SI,MASTER,Base de données,UMR,2022,1,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ISTA,2023,14,1,synthetique
SI,TECHNICIEN SPECIALISE,Intelligence artificielle,ENSA,2023,13,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Documentation,ISGA,2022,6,1,synthetique
SI,MASTER,Développement web,FEDE,2012,5,1,synthetique
CGM,MASTER,Finances contrôle et audit,ISTA,2012,1,1,synthetique
CGM,MASTER,Gestion des entreprises,USM,2011,9,0,synthetique
SI,LICENCE,Cybersécurité,ENCG,2023,3,0,synthetique
CGM,MASTER,Gestion Financière et comptable,MIAGE,2007,6,1,synthetique
SI,MASTER,Cybersécurité,EST,2013,1,0,synthetique
ARCHIVISTE,LICENCE,Bibliothéconomie,ENCG,2018,6,0,synthetique
CGM,MASTER,Finances contrôle et audit,ISTA,2017,8,1,synthetique
SI,MASTER,Système d'information,ISTA,2017,1,1,synthetique
SI,LICENCE,Base de données,USM,2014,3,0,synthetique
CGM,LICENCE,Gestion des entreprises,ENCG,2010,10,0,synthetique
ARCHIVISTE,TECHNICIEN,Management touristique,ISTA,2014,12,0,synthetique
ARCHIVISTE,TECHNICIEN,Gestion des entreprises,USMBA,2015,0,0,synthetique
SI,MASTER,Réseaux et télécommunications,ENSA,2015,7,1,synthetique
SI,MASTER,Réseaux et télécommunications,ESISA,2019,7,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Bibliothéconomie,USMBA,2008,14,0,synthetique
SI,TECHNICIEN SPECIALISE,Réseaux et télécommunications,FSJES,2006,8,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,ENCG,2021,0,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,EKTEC,2009,11,0,synthetique
SI,MASTER,Système d'information,ENCG,2009,11,1,synthetique
CGM,MASTER,Marketing,UMR,2021,6,1,synthetique
CGM,LICENCE,Finances contrôle et audit,USM,2016,14,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Comptabilité,FSJES,2021,6,0,synthetique
ARCHIVISTE,TECHNICIEN,Comptabilité,ENSA,2019,4,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,UMR,2024,6,0,synthetique
SI,MASTER,Système d'information,FSJES,2018,14,1,synthetique
CGM,LICENCE,Marketing,ISTA,2016,6,0,synthetique
SI,TECHNICIEN SPECIALISE,Génie logiciel,EKTEC,2017,1,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,USM,2017,12,1,synthetique
ARCHIVISTE,MASTER,Commerce,ENCG,2018,3,0,synthetique
SI,MASTER,Base de données,EST,2011,3,1,synthetique
CGM,MASTER,Audit,EST,2022,3,1,synthetique
CGM,MASTER,Gestion des entreprises,EST,2008,11,0,synthetique
SI,TECHNICIEN SPECIALISE,Cybersécurité,ENSA,2010,6,1,synthetique
CGM,MASTER,Marketing,ESISA,2023,12,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,EST,2013,0,0,synthetique
SI,TECHNICIEN SPECIALISE,Réseaux et télécommunications,FSJES,2021,12,0,synthetique
SI,MASTER,Système d'information,ISTA,2021,7,1,synthetique
CGM,MASTER,Finances contrôle et audit,USM,2009,1,1,synthetique
SI,TECHNICIEN SPECIALISE,Réseaux et télécommunications,ENSA,2013,2,0,synthetique
CGM,MASTER,Comptabilité,EST,2012,10,1,synthetique
CGM,MASTER,Audit,USMBA,2017,11,0,synthetique
CGM,MASTER,Marketing,FEDE,2017,12,0,synthetique
CGM,LICENCE,Marketing,ENSA,2020,8,0,synthetique
CGM,MASTER,Droit des affaires,USMBA,2009,10,0,synthetique
CGM,MASTER,Gestion des entreprises,ENCG,2015,4,1,synthetique
ARCHIVISTE,LICENCE,Documentation,USMBA,2017,13,1,synthetique
SI,DOCTORAT,Informatique,ENCG,2006,11,1,synthetique
SI,LICENCE,Intelligence artificielle,MIAGE,2019,13,0,synthetique
CGM,DOCTORAT,Marketing,EKTEC,2008,10,0,synthetique
CGM,MASTER,Gestion Financière et comptable,ENCG,2022,1,1,synthetique
ARCHIVISTE,MASTER,Audiovisuel,FSJES,2024,12,0,synthetique
CGM,MASTER,Management financier,ENSA,2006,13,0,synthetique
ARCHIVISTE,MASTER,Développement informatique,ENCG,2013,6,1,synthetique
SI,MASTER,Système d'information,EKTEC,2024,5,1,synthetique
SI,MASTER,Informatique,ISGA,2019,4,1,synthetique
CGM,MASTER,Gestion Financière et comptable,USM,2019,1,1,synthetique
CGM,LICENCE,Marketing,EST,2019,11,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,USMBA,2018,1,0,synthetique
SI,LICENCE,Intelligence artificielle,ENSA,2007,3,0,synthetique
ARCHIVISTE,TECHNICIEN,Audiovisuel,ISTA,2010,8,0,synthetique
SI,LICENCE,Cybersécurité,ENSA,2012,10,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,ENSA,2017,8,0,synthetique
CGM,DOCTORAT,Management financier,ISTA,2013,0,1,synthetique
SI,MASTER,Base de données,USMBA,2005,9,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ISTA,2013,12,0,synthetique
ARCHIVISTE,TECHNICIEN,Comptabilité,EKTEC,2006,9,0,synthetique
SI,LICENCE,Intelligence artificielle,FSJES,2007,10,0,synthetique
ARCHIVISTE,MASTER,Bibliothéconomie,UMR,2024,13,0,synthetique
SI,TECHNICIEN SPECIALISE,Développement web,FEDE,2020,3,0,synthetique
SI,LICENCE,Informatique,USMBA,2018,10,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Documentation,FEDE,2017,2,0,synthetique
SI,MASTER,Intelligence artificielle,ISTA,2022,5,1,synthetique
ARCHIVISTE,TECHNICIEN,Réseaux Informatique,ISGA,2013,10,0,synthetique
SI,MASTER,Base de données,ENCG,2005,6,1,synthetique
CGM,LICENCE,Audit,MIAGE,2009,3,1,synthetique
ARCHIVISTE,LICENCE,Management touristique,ISTA,2006,3,1,synthetique
ARCHIVISTE,TECHNICIEN,Audiovisuel,ISTA,2014,2,0,synthetique
SI,LICENCE,Intelligence artificielle,MIAGE,2005,2,0,synthetique
ARCHIVISTE,LICENCE,Documentation,FSJES,2018,13,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,USM,2019,13,0,synthetique
SI,MASTER,Système d'information,ENCG,2021,10,1,synthetique
SI,LICENCE,Développement web,FSJES,2016,7,0,synthetique
CGM,MASTER,Gestion Financière et comptable,ENCG,2018,9,1,synthetique
CGM,MASTER,Management financier,ESISA,2024,11,0,synthetique
CGM,MASTER,Comptabilité,ISTA,2021,7,1,synthetique
SI,LICENCE,Réseaux et télécommunications,ENCG,2022,13,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,ESISA,2005,6,1,synthetique
SI,MASTER,Informatique,FSJES,2016,9,1,synthetique
CGM,LICENCE,Droit des affaires,ESISA,2022,12,0,synthetique
SI,LICENCE,Développement web,FEDE,2024,6,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,USMBA,2012,1,0,synthetique
CGM,LICENCE,Droit des affaires,ENSA,2005,6,0,synthetique
SI,TECHNICIEN SPECIALISE,Système d'information,ENCG,2022,0,0,synthetique
CGM,DOCTORAT,Droit des affaires,USM,2005,2,1,synthetique
SI,LICENCE,Cybersécurité,FEDE,2013,9,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,EST,2020,12,1,synthetique
CGM,MASTER,Management financier,USM,2010,13,0,synthetique
ARCHIVISTE,LICENCE,Management touristique,ENSA,2017,10,1,synthetique
CGM,MASTER,Finances contrôle et audit,EST,2005,11,1,synthetique
SI,MASTER,Informatique,FSJES,2021,2,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,USMBA,2018,9,0,synthetique
CGM,MASTER,Droit des affaires,USM,2016,4,1,synthetique
ARCHIVISTE,TECHNICIEN,Audiovisuel,FSJES,2020,6,0,synthetique
SI,LICENCE,Cybersécurité,USMBA,2020,14,0,synthetique
CGM,MASTER,Management financier,EST,2008,4,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,ENSA,2019,11,1,synthetique
SI,LICENCE,Système d'information,FSJES,2022,1,0,synthetique
CGM,MASTER,Comptabilité,USMBA,2017,14,0,synthetique
SI,MASTER,Informatique,FSJES,2014,7,1,synthetique
SI,TECHNICIEN SPECIALISE,Génie logiciel,ENCG,2014,14,0,synthetique
SI,MASTER,Base de données,EKTEC,2013,9,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Comptabilité,USM,2020,0,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,ENSA,2023,3,0,synthetique
ARCHIVISTE,LICENCE,Comptabilité,ISTA,2022,4,0,synthetique
SI,MASTER,Génie logiciel,MIAGE,2021,5,1,synthetique
SI,LICENCE,Système d'information,ENSA,2017,12,0,synthetique
CGM,DOCTORAT,Management financier,FSJES,2022,2,1,synthetique
CGM,DOCTORAT,Comptabilité,EKTEC,2008,9,0,synthetique
ARCHIVISTE,TECHNICIEN,Documentation,EKTEC,2008,7,1,synthetique
CGM,MASTER,Finances contrôle et audit,FSJES,2017,0,1,synthetique
ARCHIVISTE,TECHNICIEN,Réseaux Informatique,ENSA,2012,1,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,ENCG,2016,1,0,synthetique
ARCHIVISTE,TECHNICIEN,Gestion des entreprises,ISTA,2024,7,0,synthetique
CGM,LICENCE,Finances contrôle et audit,USMBA,2014,13,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,ENSA,2012,3,0,synthetique
SI,MASTER,Intelligence artificielle,ENCG,2024,7,1,synthetique
CGM,MASTER,Droit des affaires,ENSA,2012,6,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,ENSA,2022,12,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ESISA,2013,0,0,synthetique
SI,TECHNICIEN SPECIALISE,Système d'information,ISTA,2007,5,0,synthetique
SI,LICENCE,Génie logiciel,MIAGE,2014,11,0,synthetique
ARCHIVISTE,LICENCE,Secrétariat,USMBA,2011,3,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,ENCG,2006,2,1,synthetique
ARCHIVISTE,LICENCE,Management touristique,ISTA,2005,3,0,synthetique
SI,MASTER,Base de données,USM,2018,12,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,USMBA,2006,3,1,synthetique
CGM,MASTER,Comptabilité,ISGA,2017,14,0,synthetique
SI,LICENCE,Cybersécurité,ENCG,2006,11,0,synthetique
SI,MASTER,Réseaux et télécommunications,FSJES,2006,9,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Bibliothéconomie,ENSA,2023,8,0,synthetique
SI,MASTER,Génie logiciel,ENSA,2023,6,1,synthetique
SI,MASTER,Cybersécurité,FSJES,2024,12,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,USM,2007,6,0,synthetique
SI,LICENCE,Base de données,ISGA,2006,13,0,synthetique
SI,MASTER,Base de données,ENSA,2014,6,1,synthetique
CGM,LICENCE,Audit,ISGA,2022,4,0,synthetique
CGM,MASTER,Finances contrôle et audit,ISTA,2024,6,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,FSJES,2010,9,0,synthetique
CGM,MASTER,Marketing,EKTEC,2013,8,1,synthetique
CGM,DOCTORAT,Marketing,USM,2015,6,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,FSJES,2019,0,0,synthetique
SI,MASTER,Génie logiciel,ISTA,2009,7,1,synthetique
CGM,LICENCE,Finances contrôle et audit,ENCG,2007,7,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,EST,2019,2,0,synthetique
SI,LICENCE,Réseaux et télécommunications,USMBA,2009,4,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,ENSA,2012,8,1,synthetique
CGM,MASTER,Finances contrôle et audit,ENSA,2008,13,1,synthetique
ARCHIVISTE,LICENCE,Bibliothéconomie,ENCG,2017,4,0,synthetique
SI,LICENCE,Intelligence artificielle,FEDE,2015,9,0,synthetique
SI,MASTER,Intelligence artificielle,ISTA,2022,5,1,synthetique
ARCHIVISTE,MASTER,Commerce,USM,2007,9,0,synthetique
CGM,MASTER,Audit,UMR,2012,13,0,synthetique
ARCHIVISTE,LICENCE,Secrétariat,UMR,2017,1,0,synthetique
SI,DOCTORAT,Développement web,ISTA,2016,12,0,synthetique
ARCHIVISTE,TECHNICIEN,Développement informatique,ISTA,2023,6,1,synthetique
SI,TECHNICIEN SPECIALISE,Cybersécurité,USMBA,2014,9,0,synthetique
CGM,LICENCE,Comptabilité,ENCG,2014,1,0,synthetique
ARCHIVISTE,TECHNICIEN,Gestion des entreprises,EST,2017,8,0,synthetique
ARCHIVISTE,LICENCE,Comptabilité,ENCG,2021,13,0,synthetique
SI,TECHNICIEN SPECIALISE,Base de données,USM,2009,9,0,synthetique
SI,MASTER,Génie logiciel,EKTEC,2007,9,1,synthetique
SI,MASTER,Base de données,USMBA,2017,3,1,synthetique
CGM,MASTER,Droit des affaires,UMR,2009,9,0,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,FSJES,2023,0,0,synthetique
SI,MASTER,Base de données,FEDE,2016,13,0,synthetique
CGM,MASTER,Gestion des entreprises,USMBA,2024,0,1,synthetique
SI,TECHNICIEN SPECIALISE,Développement web,ISGA,2017,0,0,synthetique
SI,MASTER,Base de données,ISGA,2015,6,0,synthetique
CGM,MASTER,Comptabilité,EST,2022,2,1,synthetique
CGM,LICENCE,Management financier,ENSA,2018,9,0,synthetique
SI,MASTER,Intelligence artificielle,USMBA,2021,4,1,synthetique
ARCHIVISTE,TECHNICIEN,Documentation,USM,2007,0,0,synthetique
CGM,MASTER,Droit des affaires,FSJES,2024,7,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Documentation,ENSA,2018,7,1,synthetique
ARCHIVISTE,TECHNICIEN SPECIALISE,Secrétariat,ISTA,2017,5,1,synthetique
